Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,12,0.01,0.61,0.3884280724779844
75% Corpus,12,0.01,0.9099999999999999,0.3763680402876582
75% Corpus,12,0.01,symmetric,0.3495648518730404
75% Corpus,12,0.31,0.01,0.43021502985070204
75% Corpus,12,0.31,0.31,0.43002061442566275
75% Corpus,12,0.31,0.61,0.46157112358478675
75% Corpus,12,0.31,0.9099999999999999,0.4128892357782978
75% Corpus,12,0.31,symmetric,0.4238430292954459
75% Corpus,12,0.61,0.01,0.46343889688536744
75% Corpus,12,0.61,0.31,0.4284845464300921
75% Corpus,12,0.61,0.61,0.4570025743344631
75% Corpus,12,0.61,0.9099999999999999,0.4224444396305568
75% Corpus,12,0.61,symmetric,0.46682001277453705
75% Corpus,12,0.9099999999999999,0.01,0.4213896646357549
75% Corpus,12,0.9099999999999999,0.31,0.4362011318336959
75% Corpus,12,0.9099999999999999,0.61,0.42192972163601394
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.4247655359131821
75% Corpus,12,0.9099999999999999,symmetric,0.44132099238666694
75% Corpus,12,symmetric,0.01,0.4276191967667236
75% Corpus,12,symmetric,0.31,0.3938891561306358
75% Corpus,12,symmetric,0.61,0.4238418669164967
75% Corpus,12,symmetric,0.9099999999999999,0.3804339650119779
75% Corpus,12,symmetric,symmetric,0.4086696949023946
75% Corpus,12,asymmetric,0.01,0.3920801577287624
75% Corpus,12,asymmetric,0.31,0.37425475864890234
75% Corpus,12,asymmetric,0.61,0.36233545549140816
75% Corpus,12,asymmetric,0.9099999999999999,0.3620122972564205
75% Corpus,12,asymmetric,symmetric,0.3975543819979829
75% Corpus,13,0.01,0.01,0.40324669422613074
75% Corpus,13,0.01,0.31,0.41311628231345077
75% Corpus,13,0.01,0.61,0.4072587439201626
75% Corpus,13,0.01,0.9099999999999999,0.3579409173452877
75% Corpus,13,0.01,symmetric,0.40978927050411534
75% Corpus,13,0.31,0.01,0.44112656958582797
75% Corpus,13,0.31,0.31,0.4280392347121377
75% Corpus,13,0.31,0.61,0.44334100034161555
75% Corpus,13,0.31,0.9099999999999999,0.4243367625328913
75% Corpus,13,0.31,symmetric,0.42257858219927513
75% Corpus,13,0.61,0.01,0.443641177018779
75% Corpus,13,0.61,0.31,0.4514718454294092
75% Corpus,13,0.61,0.61,0.47561424951470466
75% Corpus,13,0.61,0.9099999999999999,0.4458038936281853
75% Corpus,13,0.61,symmetric,0.4677844159510428
75% Corpus,13,0.9099999999999999,0.01,0.43737217948204654
75% Corpus,13,0.9099999999999999,0.31,0.4422878233928569
75% Corpus,13,0.9099999999999999,0.61,0.4208033806495382
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.41380216866072983
75% Corpus,13,0.9099999999999999,symmetric,0.44425724601198324
75% Corpus,13,symmetric,0.01,0.40591055486275385
75% Corpus,13,symmetric,0.31,0.39755688079678125
75% Corpus,13,symmetric,0.61,0.4282141089889639
75% Corpus,13,symmetric,0.9099999999999999,0.40316772721193905
75% Corpus,13,symmetric,symmetric,0.38158354238943404
75% Corpus,13,asymmetric,0.01,0.38961867790164667
75% Corpus,13,asymmetric,0.31,0.36513135906585914
75% Corpus,13,asymmetric,0.61,0.3710162274117804
75% Corpus,13,asymmetric,0.9099999999999999,0.3688915635803423
75% Corpus,13,asymmetric,symmetric,0.41552733718777957
75% Corpus,14,0.01,0.01,0.41150298658402373
75% Corpus,14,0.01,0.31,0.3806950716777344
75% Corpus,14,0.01,0.61,0.39382056864864096
75% Corpus,14,0.01,0.9099999999999999,0.4003642998077558
75% Corpus,14,0.01,symmetric,0.38644950132463673
75% Corpus,14,0.31,0.01,0.42288918332462516
75% Corpus,14,0.31,0.31,0.43847115599424163
75% Corpus,14,0.31,0.61,0.4574052657194677
75% Corpus,14,0.31,0.9099999999999999,0.4261124569317662
75% Corpus,14,0.31,symmetric,0.429987062269564
75% Corpus,14,0.61,0.01,0.45000207849324864
75% Corpus,14,0.61,0.31,0.46396796014095065
75% Corpus,14,0.61,0.61,0.4673919709616191
75% Corpus,14,0.61,0.9099999999999999,0.44842373628382803
75% Corpus,14,0.61,symmetric,0.45951107917824247
75% Corpus,14,0.9099999999999999,0.01,0.43228156942168267
75% Corpus,14,0.9099999999999999,0.31,0.4383755187301153
75% Corpus,14,0.9099999999999999,0.61,0.42559105783686413
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.4187091241506362
75% Corpus,14,0.9099999999999999,symmetric,0.4388151568093782
75% Corpus,14,symmetric,0.01,0.3915029273926437
75% Corpus,14,symmetric,0.31,0.4067957858411739
75% Corpus,14,symmetric,0.61,0.42363572315596176
75% Corpus,14,symmetric,0.9099999999999999,0.3956304412883648
75% Corpus,14,symmetric,symmetric,0.40790947068382655
