Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,symmetric,0.9099999999999999,0.48862625299826473
75% Corpus,10,symmetric,symmetric,0.4003334923169716
75% Corpus,10,asymmetric,0.01,0.3894117794777453
75% Corpus,10,asymmetric,0.31,0.34678983414288583
75% Corpus,10,asymmetric,0.61,0.42611485832797297
75% Corpus,10,asymmetric,0.9099999999999999,0.43451901731893033
75% Corpus,10,asymmetric,symmetric,0.3703585907722475
75% Corpus,11,0.01,0.01,0.3989683528756907
75% Corpus,11,0.01,0.31,0.377113655669566
75% Corpus,11,0.01,0.61,0.3945420072498972
75% Corpus,11,0.01,0.9099999999999999,0.3914319883384236
75% Corpus,11,0.01,symmetric,0.3724479569007956
75% Corpus,11,0.31,0.01,0.3713685872057657
75% Corpus,11,0.31,0.31,0.36500007372410925
75% Corpus,11,0.31,0.61,0.40479023088767657
75% Corpus,11,0.31,0.9099999999999999,0.45524799388224435
75% Corpus,11,0.31,symmetric,0.3720787131683667
75% Corpus,11,0.61,0.01,0.3682819436407784
75% Corpus,11,0.61,0.31,0.4072789446336745
75% Corpus,11,0.61,0.61,0.4261350121096366
75% Corpus,11,0.61,0.9099999999999999,0.42566111896627506
75% Corpus,11,0.61,symmetric,0.37350051956613667
75% Corpus,11,0.9099999999999999,0.01,0.328520036932196
75% Corpus,11,0.9099999999999999,0.31,0.3590171517162698
75% Corpus,11,0.9099999999999999,0.61,0.3843972604724045
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.4303776871388566
75% Corpus,11,0.9099999999999999,symmetric,0.33264737734936256
75% Corpus,11,symmetric,0.01,0.403302646952887
75% Corpus,11,symmetric,0.31,0.3705402175254501
75% Corpus,11,symmetric,0.61,0.39951583603727003
75% Corpus,11,symmetric,0.9099999999999999,0.4690122552177618
75% Corpus,11,symmetric,symmetric,0.3936887318150003
75% Corpus,11,asymmetric,0.01,0.3843433182883665
75% Corpus,11,asymmetric,0.31,0.36094962019270077
75% Corpus,11,asymmetric,0.61,0.3895087363531641
75% Corpus,11,asymmetric,0.9099999999999999,0.43776238388811617
75% Corpus,11,asymmetric,symmetric,0.37613230093017164
75% Corpus,12,0.01,0.01,0.38492001800064346
75% Corpus,12,0.01,0.31,0.39143391989883397
75% Corpus,12,0.01,0.61,0.376807388784942
75% Corpus,12,0.01,0.9099999999999999,0.4073291410687361
75% Corpus,12,0.01,symmetric,0.38881140647353024
75% Corpus,12,0.31,0.01,0.38448465896656564
75% Corpus,12,0.31,0.31,0.37772638238322176
75% Corpus,12,0.31,0.61,0.4294725811017225
75% Corpus,12,0.31,0.9099999999999999,0.482592114428334
75% Corpus,12,0.31,symmetric,0.369970710081365
75% Corpus,12,0.61,0.01,0.3581496520545636
75% Corpus,12,0.61,0.31,0.3527838195633754
75% Corpus,12,0.61,0.61,0.4331124325220738
75% Corpus,12,0.61,0.9099999999999999,0.414530019526037
75% Corpus,12,0.61,symmetric,0.38754196709169
75% Corpus,12,0.9099999999999999,0.01,0.32841734908205245
75% Corpus,12,0.9099999999999999,0.31,0.34444071672189847
75% Corpus,12,0.9099999999999999,0.61,0.39901011063673497
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.4281929243372784
75% Corpus,12,0.9099999999999999,symmetric,0.3424844627533751
75% Corpus,12,symmetric,0.01,0.39874762003174685
75% Corpus,12,symmetric,0.31,0.39121628679709586
75% Corpus,12,symmetric,0.61,0.4585552713503591
75% Corpus,12,symmetric,0.9099999999999999,0.4487762602375911
75% Corpus,12,symmetric,symmetric,0.3933307813876901
75% Corpus,12,asymmetric,0.01,0.36321047146090507
75% Corpus,12,asymmetric,0.31,0.3866357071154542
75% Corpus,12,asymmetric,0.61,0.42862695131968775
75% Corpus,12,asymmetric,0.9099999999999999,0.46672771176082295
75% Corpus,12,asymmetric,symmetric,0.39089042297014387
75% Corpus,13,0.01,0.01,0.3725608374317967
75% Corpus,13,0.01,0.31,0.3886230265771816
75% Corpus,13,0.01,0.61,0.3685783524094578
75% Corpus,13,0.01,0.9099999999999999,0.41731133500939466
75% Corpus,13,0.01,symmetric,0.39301461764668766
75% Corpus,13,0.31,0.01,0.39104782385278797
75% Corpus,13,0.31,0.31,0.3667803407652698
75% Corpus,13,0.31,0.61,0.41085852368975606
75% Corpus,13,0.31,0.9099999999999999,0.47272026797421757
75% Corpus,13,0.31,symmetric,0.38697783839152144
75% Corpus,13,0.61,0.01,0.3706193578702722
75% Corpus,13,0.61,0.31,0.3880364489684484
75% Corpus,13,0.61,0.61,0.4383810890269443
75% Corpus,13,0.61,0.9099999999999999,0.4239637958897905
75% Corpus,13,0.61,symmetric,0.377690821637623
75% Corpus,13,0.9099999999999999,0.01,0.3559786986727757
75% Corpus,13,0.9099999999999999,0.31,0.35238531088670233
75% Corpus,13,0.9099999999999999,0.61,0.3921125428489787
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.41949647774068194
75% Corpus,13,0.9099999999999999,symmetric,0.34554472558658933
75% Corpus,13,symmetric,0.01,0.39887608507343847
75% Corpus,13,symmetric,0.31,0.3678885710206797
75% Corpus,13,symmetric,0.61,0.38683668553238837
75% Corpus,13,symmetric,0.9099999999999999,0.436718017006209
75% Corpus,13,symmetric,symmetric,0.39412839373570685
75% Corpus,13,asymmetric,0.01,0.3706454991919289
75% Corpus,13,asymmetric,0.31,0.3519369794475149
75% Corpus,13,asymmetric,0.61,0.4164801067261722
75% Corpus,13,asymmetric,0.9099999999999999,0.4395126746886963
75% Corpus,13,asymmetric,symmetric,0.3851771460490203
75% Corpus,14,0.01,0.01,0.3822869660997134
75% Corpus,14,0.01,0.31,0.40586030306094517
75% Corpus,14,0.01,0.61,0.37698514365801755
75% Corpus,14,0.01,0.9099999999999999,0.39358852578776826
75% Corpus,14,0.01,symmetric,0.37488398197527195
75% Corpus,14,0.31,0.01,0.38509411653226844
75% Corpus,14,0.31,0.31,0.3706727086604463
75% Corpus,14,0.31,0.61,0.4166567940803424
75% Corpus,14,0.31,0.9099999999999999,0.37860886979471686
75% Corpus,14,0.31,symmetric,0.366626245283153
75% Corpus,14,0.61,0.01,0.3583641755949637
75% Corpus,14,0.61,0.31,0.40242499759793227
75% Corpus,14,0.61,0.61,0.42715540996083384
75% Corpus,14,0.61,0.9099999999999999,0.41558779912861665
75% Corpus,14,0.61,symmetric,0.4023027646396759
75% Corpus,14,0.9099999999999999,0.01,0.3337959101556993
75% Corpus,14,0.9099999999999999,0.31,0.34225418474435143
75% Corpus,14,0.9099999999999999,0.61,0.39778602218767933
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.4071976212805044
75% Corpus,14,0.9099999999999999,symmetric,0.3316808558331051
75% Corpus,14,symmetric,0.01,0.37389710669319476
75% Corpus,14,symmetric,0.31,0.37543402369541673
75% Corpus,14,symmetric,0.61,0.3970884593148555
75% Corpus,14,symmetric,0.9099999999999999,0.44474150381991506
75% Corpus,14,symmetric,symmetric,0.39120648299600147
75% Corpus,14,asymmetric,0.01,0.3565105596154728
75% Corpus,14,asymmetric,0.31,0.35096334715932176
75% Corpus,14,asymmetric,0.61,0.4100484831395675
75% Corpus,14,asymmetric,0.9099999999999999,0.41722052981212226
75% Corpus,14,asymmetric,symmetric,0.38814122952980756
100% Corpus,4,0.01,0.01,0.4198993011982884
100% Corpus,4,0.01,0.31,0.39902588817048634
100% Corpus,4,0.01,0.61,0.3985516823784573
100% Corpus,4,0.01,0.9099999999999999,0.41989297691567595
100% Corpus,4,0.01,symmetric,0.41411850477823686
100% Corpus,4,0.31,0.01,0.39018043706484806
100% Corpus,4,0.31,0.31,0.39676872789602297
100% Corpus,4,0.31,0.61,0.40478345701665874
100% Corpus,4,0.31,0.9099999999999999,0.44591925631183427
100% Corpus,4,0.31,symmetric,0.38775234956236815
100% Corpus,4,0.61,0.01,0.41949747874697624
100% Corpus,4,0.61,0.31,0.42508638149927236
100% Corpus,4,0.61,0.61,0.46412802680413706
100% Corpus,4,0.61,0.9099999999999999,0.4772914869662377
100% Corpus,4,0.61,symmetric,0.4146539946891144
100% Corpus,4,0.9099999999999999,0.01,0.41027353121001786
100% Corpus,4,0.9099999999999999,0.31,0.41410870594765425
100% Corpus,4,0.9099999999999999,0.61,0.43399128631385253
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4334846400965692
100% Corpus,4,0.9099999999999999,symmetric,0.40452291272264407
100% Corpus,4,symmetric,0.01,0.3982805433654234
100% Corpus,4,symmetric,0.31,0.3894980674459384
